magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,continent,country
7.9,15-11-2006 20:14,7,8,orange,1,1253,jp,0,0,0,Mww,30,46.4216,154.0285,Asia,Japan
7.2,26-12-2006 21:34,1,1,green,0,965,jp,0,0,0,Mww,0,21.4899,120.4118,Asia,Japan
8.2,13-01-2007 13:23,8,7,orange,1,1376,jp,0,0,0,Mww,30,46.5627,155.0313,Asia,Japan
7.3,21-01-2007 20:27,2,2,green,0,1006,us,0,0,0,Mww,22,1.039,126.1692,Asia,Japan
7.1,31-01-2007 06:37,1,2,green,0,924,jp,0,0,0,Mww,3798,21.1342,145.2417,Asia,Japan
6.2,17-02-2007 09:02,2,2,green,0,555,jp,0,0,0,Mww,4006,41.4391,143.4336,Asia,Japan
6.9,25-03-2007 09:41,6,6,yellow,1,842,jp,0,0,0,Mww,1070,37.1324,136.4116,Asia,Japan
7.9,02-04-2007 05:39,1,2,green,0,1253,us,0,0,0,Mww,10,-8.276,157.0264,Asia,Japan
6.3,20-04-2007 09:26,2,1,green,0,596,jp,0,0,0,Mww,2212,25.4432,125.0426,Asia,Japan
6.7,20-04-2007 10:45,6,5,yellow,1,760,jp,0,0,0,Mww,2082,25.4487,125.0821,Asia,Japan
6.8,16-07-2007 10:13,5,6,yellow,1,801,jp,0,0,0,Mww,1675,37.3341,138.3657,Asia,Japan
6.4,02-08-2007 11:37,6,6,yellow,1,637,jp,0,0,0,Mww,0,47.1334,141.4343,Asia,Japan
5.9,02-08-2007 14:22,2,2,green,0,432,jp,0,0,0,Mww,27,46.5846,141.4136,Asia,Japan
6.3,07-08-2007 09:02,2,1,green,0,596,jp,0,0,0,Mww,5,27.2086,126.4008,Asia,Japan
7.9,16-08-2007 08:40,5,6,yellow,1,1253,us,0,0,0,Mww,39,-13.2316,-76.3618,Asia,Japan
6.6,07-09-2007 02:51,1,2,green,0,719,jp,0,0,0,Mww,6646,24.2477,122.1647,Asia,Japan
7.1,30-09-2007 11:08,1,1,green,0,924,us,0,0,0,Mww,14,10.2724,145.4308,Asia,Japan
7.4,15-11-2007 00:40,1,2,green,0,1047,us,0,0,0,Mww,40,-22.1482,-69.534,Asia,Japan
6.6,27-02-2008 15:54,2,2,green,0,719,jp,0,0,0,Mww,3780,26.5259,142.443,Asia,Japan
6.4,03-03-2008 23:11,2,2,green,0,637,us,0,0,0,Mww,24,13.2106,125.378,Asia,Japan
6.6,15-03-2008 07:32,2,2,green,0,719,jp,0,0,0,Mww,66,27.0629,143.0935,Asia,Japan
6.3,08-05-2008 01:16,1,1,green,0,596,jp,0,0,0,Mww,18,36.1648,141.5873,Asia,Japan
7,08-05-2008 01:45,1,1,green,0,883,jp,0,0,0,Mww,5057,36.1369,141.3646,Asia,Japan
5.9,11-05-2008 04:42,1,1,green,0,432,jp,0,0,0,Mww,32,23.5724,122.2596,Asia,Japan
6.9,19-07-2008 11:39,6,6,yellow,1,842,jp,0,0,0,Mww,3155,37.3125,142.1587,Asia,Japan
7.1,11-09-2008 09:20,6,5,yellow,1,924,jp,0,0,0,Mww,3086,41.4653,144.0909,Asia,Japan
6.6,20-12-2008 19:29,1,2,green,0,719,jp,0,0,0,Mww,0,36.3185,142.42,Asia,Japan
6.2,21-12-2008 18:16,1,1,green,0,555,jp,0,0,0,Mww,0,36.3603,142.2794,Asia,Japan
7.5,04-01-2009 04:43,6,5,yellow,1,1088,us,0,0,0,Mww,17,-0.2484,132.531,Asia,Japan
7.4,16-01-2009 02:49,1,2,green,0,1047,jp,0,0,0,Mww,30,46.5974,155.1008,Asia,Japan
7.2,12-02-2009 02:34,2,1,green,0,965,us,0,0,0,Mww,22,3.5304,126.2382,Asia,Japan
7.6,20-03-2009 03:17,1,2,green,0,1129,us,0,0,0,Mww,34,-23.0276,-174.3954,Asia,Japan
6.4,05-06-2009 12:30,2,2,green,0,637,jp,0,0,0,Mww,3130,41.4874,143.3722,Asia,Japan
6.5,05-08-2009 09:17,2,1,green,0,678,jp,0,0,0,Mww,22,24.1058,125.158,Asia,Japan
